DADADDAD AADDDADD DADDDDDD DDDAAADD
AAADAAAA ADDDDDDD AAAADDAD DDAADDAD
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAD AAAAADAA AADAAAAA
AAAAAAAA AADAAADA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA DAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAADA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAADAAA AADAAADA AAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
DDDDDDDD DDDAAAAA DAADADDD DDDDDDDD
DDDDDDDD DDDAAAAA AAADDDDD DDDDDDDD
AAAAAAAA AADAAAAA ADAAADAD AAAAAAAA
DAAAAADA AADAAAAA AAAAADAA AAAADAAA
AAAAAAAA AADAAAAA DAAAADAA DAADAAAA
AAAAADAA AADAAAAA DAAAADAA AAAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
DAAAAAAA AADDAAAA AAAAADAA AAAAAAAA
AAAAAAAA ADDAADAA AAAAADAA AAAAADAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAAAA
AAAAAAAD AADADAAA ADAAADAA AAADDAAA
AAAAAAAA AADAAAAA AAAAADAA ADAAAAAA
AAAAAAAA AADAAAAA AAAAADAA AAAAAADA
AAAAAAAA AADAADAA DAAAADAA AAAAAAAD
AAAAAAAA AADAADAA AAAADDAA AAAAAAAA
AAAAADAA AADAADAA ADAAADAA AAAAAAAA
ADAAAAAA AADAAAAA AAAAADAA AAAAAAAA
